variant,bs,dx,dy,n,k,kernel_name,kernel_name_full,total_time_ms,avg_time_ms,instances,time_percent
TurboFNO_1D_A,32,256,128,64,256,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",26.165036,4.360839299999999,6,59.3
TurboFNO_1D_A,32,256,128,64,256,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",14.17203,2.362005,6,32.1
TurboFNO_1D_A,32,256,128,64,256,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",3.792646,0.6321076999999999,6,8.6
TurboFNO_1D_A,32,256,128,64,512,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",51.358657,8.5597762,6,61.6
TurboFNO_1D_A,32,256,128,64,512,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",28.26083,4.7101383,6,33.9
TurboFNO_1D_A,32,256,128,64,512,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",3.763654,0.6272757,6,4.5
TurboFNO_1D_A,32,256,128,128,16,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",7.66686,1.27781,6,52.9
TurboFNO_1D_A,32,256,128,128,16,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",5.891128,0.9818547,6,40.6
TurboFNO_1D_A,32,256,128,128,16,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",0.94233,0.157055,6,6.5
TurboFNO_1D_A,32,256,128,128,32,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",7.718155,1.2863592,6,44.8
TurboFNO_1D_A,32,256,128,128,32,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",7.67969,1.2799483,6,44.6
TurboFNO_1D_A,32,256,128,128,32,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",1.835251,0.3058752,6,10.6
TurboFNO_1D_A,32,256,128,128,64,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",14.261182,2.3768637000000004,6,55.9
TurboFNO_1D_A,32,256,128,128,64,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",7.678956,1.279826,6,30.1
TurboFNO_1D_A,32,256,128,128,64,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",3.576552,0.596092,6,14.0
TurboFNO_1D_A,32,256,128,128,128,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",26.458178,4.4096963,6,64.1
TurboFNO_1D_A,32,256,128,128,128,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",7.684394,1.2807323000000002,6,18.6
TurboFNO_1D_A,32,256,128,128,128,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",7.105133,1.1841888,6,17.2
TurboFNO_1D_A,32,256,128,128,256,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",51.393727,8.565621199999999,6,70.2
TurboFNO_1D_A,32,256,128,128,256,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",14.170591,2.3617652000000002,6,19.4
TurboFNO_1D_A,32,256,128,128,256,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",7.642156,1.2736927,6,10.4
TurboFNO_1D_A,32,256,128,128,512,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",101.395188,16.899198,6,73.9
TurboFNO_1D_A,32,256,128,128,512,fft_7_stride,"fft_7_stride_DY(float2 *, float2 *, int, int)",28.273376,4.7122293,6,20.6
TurboFNO_1D_A,32,256,128,128,512,ifft_7_stride,"ifft_7_stride_DY(float2 *, float2 *, int, int)",7.586571,1.2644285,6,5.5
TurboFNO_1D_A,32,256,256,64,16,ifft_8_stride,"ifft_8_stride_DY(float2 *, float2 *, int, int)",6.504725,1.0841208,6,58.2
TurboFNO_1D_A,32,256,256,64,16,cgemm,"cgemm(int, int, int, float2 *, float2 *, float2 *, float2, float2)",3.019628,0.5032713,6,27.0
TurboFNO_1D_A,32,256,256,64,16,fft_8_stride,"fft_8_stride_DY(float2 *, float2 *, int, int)",1.655765,0.2759608,6,14.8
